iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20151130_173603	2	0	O1-Cz	1	5.000000	1	0	1F1	0	0	nan	-0.000007	-0.000038	-0.000026	-0.000002	-0.000021	-0.000044	0.000039	-99.667572	0.000038	0.000043	0.676108	0.495914	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O1-Cz	1	5.000000	1	0	1F1	0	1	0.766945	0.000083	-0.000088	0.000047	0.000144	0.000034	0.000001	0.000121	-46.426223	0.000093	0.000086	0.414097	1.538460	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O1-Cz	1	5.000000	1	0	1F1	0	2	0.973110	0.000051	-0.000058	-0.000045	0.000070	0.000023	0.000015	0.000078	-48.527689	0.000055	0.000117	0.806611	0.987509	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O1-Cz	1	5.000000	1	0	1F1	0	3	1.234695	0.000020	-0.000056	-0.000029	-0.000005	0.000042	-0.000062	0.000060	-70.625925	0.000052	0.000087	0.792852	0.760270	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O1-Cz	1	5.000000	1	0	1F1	0	4	1.566597	-0.000093	-0.000030	-0.000007	0.000014	-0.000088	-0.000090	0.000098	-162.289238	0.000071	0.000063	0.348467	1.243488	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O1-Cz	1	5.000000	1	0	1F1	0	5	1.987718	-0.000119	-0.000005	-0.000009	-0.000002	-0.000087	-0.000103	0.000119	-177.582312	0.000072	0.000049	0.112753	1.513257	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O1-Cz	1	5.000000	1	0	1F1	0	6	2.522042	-0.000035	-0.000023	-0.000047	-0.000181	-0.000060	-0.000084	0.000042	-146.467260	0.000145	0.000038	0.569198	0.528916	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O1-Cz	1	5.000000	1	0	1F1	0	7	3.200000	0.000046	-0.000009	-0.000095	-0.000053	-0.000009	0.000015	0.000047	-11.170852	0.000063	0.000041	0.546319	0.599109	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O2-Cz	1	5.000000	1	0	1F1	0	0	nan	0.000034	-0.000116	-0.000116	0.000113	-0.000175	0.000015	0.000120	-73.787612	0.000169	0.000099	0.505415	0.471870	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O2-Cz	1	5.000000	1	0	1F1	0	1	0.766945	0.000298	-0.000031	-0.000240	0.000170	-0.000342	0.000032	0.000300	-6.010392	0.000319	0.000186	0.323736	1.174150	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O2-Cz	1	5.000000	1	0	1F1	0	2	0.973110	0.000157	-0.000165	0.000148	0.000278	-0.000218	-0.000001	0.000228	-46.386590	0.000266	0.000181	0.485580	0.891060	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O2-Cz	1	5.000000	1	0	1F1	0	3	1.234695	-0.000110	-0.000051	-0.000154	0.000235	-0.000415	-0.000006	0.000121	-154.930111	0.000348	0.000137	0.688944	0.474955	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O2-Cz	1	5.000000	1	0	1F1	0	4	1.566597	-0.000021	-0.000251	-0.000381	-0.000138	-0.000093	-0.000212	0.000252	-94.796416	0.000318	0.000120	0.171467	0.986888	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O2-Cz	1	5.000000	1	0	1F1	0	5	1.987718	-0.000051	-0.000160	0.000003	-0.000154	-0.000088	0.000136	0.000168	-107.739940	0.000158	0.000170	0.633388	0.655973	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O2-Cz	1	5.000000	1	0	1F1	0	6	2.522042	-0.000053	-0.000206	0.000059	0.000065	-0.000112	0.000029	0.000213	-104.397782	0.000102	0.000235	0.677084	0.833243	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	0	O2-Cz	1	5.000000	1	0	1F1	0	7	3.200000	0.000015	0.000054	-0.000248	0.000336	0.000043	0.000127	0.000056	74.342185	0.000276	0.000157	0.937762	0.221087	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O1-Cz	1	5.000000	1	0	1F1	0	0	nan	0.000109	-0.000051	-0.000138	0.000124	-0.000070	-0.000048	0.000120	-25.281336	0.000135	0.000000	1.000000	0.643486	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O1-Cz	1	5.000000	1	0	1F1	0	1	0.766945	0.000374	0.000048	-0.000309	0.000248	0.000012	0.000002	0.000377	7.310851	0.000204	0.000000	1.000000	2.021763	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O1-Cz	1	5.000000	1	0	1F1	0	2	0.973110	0.000408	0.000107	-0.000020	0.000195	-0.000005	0.000021	0.000422	14.625581	0.000109	0.000000	1.000000	2.259474	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O1-Cz	1	5.000000	1	0	1F1	0	3	1.234695	0.000266	-0.000067	-0.000043	0.000172	0.000009	-0.000130	0.000274	-14.042840	0.000153	0.000000	1.000000	1.469962	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O1-Cz	1	5.000000	1	0	1F1	0	4	1.566597	0.000012	-0.000186	-0.000263	0.000264	-0.000073	-0.000202	0.000187	-86.242569	0.000294	0.000000	1.000000	0.999726	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O1-Cz	1	5.000000	1	0	1F1	0	5	1.987718	-0.000141	-0.000131	-0.000313	0.000177	-0.000104	-0.000139	0.000192	-137.033477	0.000267	0.000000	1.000000	1.030776	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O1-Cz	1	5.000000	1	0	1F1	0	6	2.522042	-0.000128	-0.000050	-0.000019	-0.000016	-0.000285	0.000054	0.000137	-158.668696	0.000157	0.000000	1.000000	0.734701	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O1-Cz	1	5.000000	1	0	1F1	0	7	3.200000	-0.000032	-0.000080	0.000003	-0.000171	-0.000043	0.000061	0.000086	-111.865757	0.000123	0.000000	1.000000	0.460528	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O2-Cz	1	5.000000	1	0	1F1	0	0	nan	0.000114	-0.000030	-0.000067	-0.000109	0.000009	-0.000146	0.000118	-14.619078	0.000137	0.000000	1.000000	0.300494	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O2-Cz	1	5.000000	1	0	1F1	0	1	0.766945	0.000259	-0.000478	-0.000569	-0.000509	-0.000119	0.000397	0.000544	-61.552482	0.000589	0.000000	1.000000	1.385856	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O2-Cz	1	5.000000	1	0	1F1	0	2	0.973110	-0.000215	-0.000497	-0.000096	-0.000125	-0.000446	0.000263	0.000541	-113.416213	0.000338	0.000000	1.000000	1.379911	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O2-Cz	1	5.000000	1	0	1F1	0	3	1.234695	0.000159	-0.000242	0.000018	-0.000072	-0.000151	-0.000458	0.000289	-56.708774	0.000278	0.000000	1.000000	0.736598	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O2-Cz	1	5.000000	1	0	1F1	0	4	1.566597	0.000107	0.000041	-0.000373	0.000088	0.000222	-0.000697	0.000115	21.159069	0.000557	0.000000	1.000000	0.292861	nan	nan	nan	nan	nan	nan	nan	nan
20151130_173603	2	1	O2-Cz	1	5.000000	1	0	1F1	0	5	1.987718	-0.000103	-0.000029	0.000287	-0.000051	0.000018	-0.000418	0.000107	-164.227979	0.000355	0.000000	1.000000	0.273072	nan	nan	nan	nan	nan	nan	nan	nan
